,Phy,HBac
2024-08-13,2603377.874781591,2799204.6590132737
2024-08-14,2832746.3703543004,2786857.0079103764
2024-08-15,2832223.90370802,2776892.7709246757
2024-08-16,2728290.936430981,2762733.130365769
2024-08-17,2761226.9642500384,2746440.308751475
2024-08-18,2511054.0847881287,2732697.90986645
2024-08-19,2243241.646966447,2715298.8095214604
2024-08-20,1936158.7882712367,2689605.848794298
2024-08-21,1873571.7955302524,2662252.824445613
2024-08-22,1697402.5114031164,2628561.315640937
2024-08-23,1570030.6018451776,2594072.4826671453
2024-08-24,1365757.1227296866,2556740.5795828984
2024-08-25,1725093.3727086582,2524685.716204907
2024-08-26,1499736.412919642,2495288.4484326527
2024-08-27,1516852.0261639562,2457624.063000163
2024-08-28,1832037.2504545317,2424151.994709494
2024-08-29,1912669.812524414,2389331.1325812107
2024-08-30,1972530.5696041672,2358250.4150454453
2024-08-31,2023070.7743610214,2328772.9278636556
2024-09-01,2004086.538734543,2302605.094286012
2024-09-02,1862795.4365032453,2280489.8357090815
2024-09-03,1872679.079015307,2260739.632638622
2024-09-04,1948748.2360098064,2244149.9983884622
2024-09-05,2028733.4463534919,2230071.9765148642
2024-09-06,2068729.341575751,2218498.3730662195
2024-09-07,2104680.4589369674,2211285.772282234
2024-09-08,2089717.3914497271,2207572.286272776
2024-09-09,2013703.6849072431,2205931.2035151427
2024-09-10,1999390.3471570034,2203279.2364525693
2024-09-11,1616912.5406809463,2197751.7554776757
2024-09-12,1896927.756357119,2188773.3048388995
2024-09-13,1678669.266802715,2184134.41609317
2024-09-14,1412301.2021739949,2171089.7696203985
2024-09-15,1678722.3379573666,2160468.6168839596
2024-09-16,1763950.4860587688,2149839.0636648606
2024-09-17,1444936.1275956193,2136522.5866318676
2024-09-18,1379719.2567841997,2118655.9858754305
2024-09-19,1488217.0078626722,2105411.5885534864
2024-09-20,1507890.1736430924,2089293.6530625746
2024-09-21,1427634.997868074,2075163.323943393
2024-09-22,1260108.6747820596,2060852.3231720882
2024-09-23,998675.8683417317,2043963.1529940236
2024-09-24,1165998.129233964,2028533.7463446383
2024-09-25,802035.9716068648,2012809.5829834354
2024-09-26,846949.8569417619,1991259.8601604775
2024-09-27,897615.7740123089,1962495.6151997428
2024-09-28,900005.1313386847,1940387.1512462504
2024-09-29,959136.4227286989,1911737.4875780365
2024-09-30,1001999.9278161433,1888412.0203585431
2024-10-01,737657.0553787914,1862895.6584306853
2024-10-02,847518.175235724,1834004.75232572
2024-10-03,890307.2890501323,1807589.0832031106
2024-10-04,700237.4118923373,1780507.0762279944
2024-10-05,772349.8231804422,1758232.8595112048
2024-10-06,725656.9512977647,1738101.4242573665
2024-10-07,749020.0503529395,1719940.277620423
2024-10-08,623183.2640183214,1703509.259376752
2024-10-09,693849.7780718317,1690426.8738905753
