,b1
1706,4667.0
1707,4667.0
1708,4667.0
1709,4667.0
1710,4667.0
1711,4667.0
1712,4667.0
1713,4667.0
1714,4667.0
1715,4667.0
1716,4667.0
1717,4667.0
1718,4667.0
1719,4667.0
1720,4667.0
1721,4667.0
1722,4667.0
1723,4667.0
1724,4667.0
1725,4667.0
1726,4667.0
1727,4667.0
1728,4667.0
1729,4667.0
1730,4667.0
1731,4667.0
1732,4667.0
1733,4667.0
1734,4667.0
1735,4667.0
1736,4667.0
1737,4667.0
1738,4667.0
1739,4667.0
1740,4667.0
1741,4667.0
1742,4667.0
1743,4667.0
1744,4667.0
1745,4667.0
1746,4667.0
1747,4667.0
1748,4667.0
1749,4667.0
1750,4667.0
1751,4667.0
1752,4667.0
1753,4667.0
1754,4667.0
1755,4667.0
1756,4667.0
1757,4667.0
1758,4667.0
1759,4667.0
1760,4667.0
1761,4667.0
1762,4667.0
1763,4667.0
1764,4667.0
1765,4667.0
1766,4667.0
1767,4667.0
1768,4667.0
1769,4667.0
1770,4667.0
1771,4667.0
1772,4667.0
1773,4667.0
1774,4667.0
1775,4667.0
1776,4667.0
1777,4667.0
1778,4667.0
1779,4667.0
1780,4667.0
1781,4667.0
1782,4667.0
1783,4667.0
1784,4667.0
1785,4667.0
1786,4667.0
1787,4667.0
1788,4667.0
1789,4667.0
1790,4667.0
1791,4667.0
1792,4667.0
1793,4667.0
1794,4667.0
1795,4667.0
1796,4667.0
1797,4667.0
1798,4667.0
1799,4667.0
1800,4667.0
1801,4667.0
1802,4667.0
1803,4667.0
1804,4667.0
1805,4667.0
1806,4667.0
1807,4667.0
1808,4667.0
1809,4667.0
1810,4667.0
1811,4667.0
1812,4667.0
1813,4667.0
1814,4667.0
1815,4667.0
1816,4667.0
1817,4667.0
1818,4667.0
1819,4667.0
1820,4667.0
1821,4667.0
1822,4667.0
1823,4667.0
1824,4667.0
1825,4667.0
1826,4667.0
1827,4667.0
1828,4667.0
1829,4667.0
1830,4667.0
1831,4667.0
1832,4667.0
1833,4667.0
1834,4667.0
1835,4667.0
1836,4667.0
1837,4667.0
1838,4667.0
1839,4667.0
1840,4667.0
1841,4667.0
1842,4667.0
1843,4667.0
1844,4667.0
1845,4667.0
1846,4667.0
1847,4667.0
1848,4667.0
1849,4667.0
1850,4667.0
1851,4667.0
1852,4667.0
1853,4667.0
1854,4667.0
1855,4667.0
1856,4667.0
1857,4667.0
1858,4667.0
1859,4667.0
1860,4667.0
1861,4667.0
1862,4667.0
1863,4667.0
1864,4667.0
1865,4667.0
1866,4667.0
1867,4667.0
1868,4667.0
1869,4667.0
1870,4667.0
